City_ID,City,Country,Max Temp,Description,Lat,Lng,Hotel Name
560,Cukai,MY,86.14,broken clouds,4.25,103.4167,OYO 90038 Dalyla Inn Chalet
563,Sukhothai,TH,76.89,few clouds,17.25,99.6667,ฐานทัพ4เรนเจอร์RG
568,Oistins,BB,80.69,scattered clouds,13.0667,-59.5333,Butterfly Beach Hotel
572,Amalapuram,IN,77.38,overcast clouds,16.5833,82.0167,swayamprabha service apartments
576,Beitbridge,ZW,79.07,overcast clouds,-22.2167,30.0,Beitbridge Express Hotel
577,Honiara,SB,86.25,heavy intensity rain,-9.4333,159.95,Heritage Park Hotel
580,Cravo Norte,CO,76.19,overcast clouds,6.3017,-70.2041,Hotel Potosí Los Mirtos
595,Gladstone,AU,83.79,light rain,-23.85,151.25,Highpoint International Hotel
596,Vanimo,PG,85.26,overcast clouds,-2.6741,141.3028,Vahmoneh Lodge Vanimo
598,Guhagar,IN,82.24,overcast clouds,17.4842,73.1929,Hotel Seawinds
602,Poum,NC,81.55,few clouds,-20.2333,164.0167,Gîte kajeon
606,Macae,BR,76.75,clear sky,-22.3708,-41.7869,Personal Hotel
610,Kirakira,SB,84.97,broken clouds,-10.4544,161.9205,SanBiz Lodge
623,Lethem,GY,78.04,broken clouds,3.3803,-59.7968,Savannah Inn
624,Ewa Beach,US,80.55,clear sky,21.3156,-158.0072,Uncle Junior Robert
625,Bairiki,KI,87.8,scattered clouds,1.3292,172.9752,Tarawa Boutique Hotel
627,Sabang,ID,76.17,light rain,5.8933,95.3214,Hotel Citra
630,Kinablangan,PH,84.78,overcast clouds,7.6947,126.5503,Morales Eatery and Lodging House
637,Phayakkhaphum Phisai,TH,77.52,overcast clouds,15.5163,103.1937,โรงแรมบ้านนงนุชโฮเตล
639,Vila Velha,BR,78.75,few clouds,-20.3297,-40.2925,Quality Suites Vila Velha
643,Finschhafen,PG,82.13,moderate rain,-6.6024,147.8681,Cossam Guest House
645,Olinda,BR,82.13,broken clouds,-8.0089,-34.8553,Hotel Albergue de Olinda
647,Moranbah,AU,86.11,light rain,-22.0016,148.0466,Direct Hotels - Monterey Moranbah
649,Parrita,CR,80.51,overcast clouds,9.5201,-84.3225,Beso del Viento
652,Yeppoon,AU,83.98,light rain,-23.1333,150.7333,Villa Mar Colina
658,Orocue,CO,75.11,overcast clouds,4.7912,-71.3354,Hotel Brisas de San Miguel
