City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
129,Dingle,PH,2021-11-27 22:27:53,10.9995,122.6711,75.72,93,100,6.93
130,Waingapu,ID,2021-11-27 22:30:31,-9.6567,120.2641,79.81,82,100,5.06
131,Pangai,TO,2021-11-27 22:30:32,-19.8,-174.35,81.79,76,99,13.94
132,Kiruna,SE,2021-11-27 22:30:32,67.8557,20.2251,-8.48,84,90,1.14
133,Yalutorovsk,RU,2021-11-27 22:30:32,56.6536,66.3006,24.12,92,93,10.51
134,Hovd,MN,2021-11-27 22:30:33,48.0056,91.6419,13.95,35,4,2.93
135,Lundazi,ZM,2021-11-27 22:30:33,-12.2929,33.1782,64.63,81,27,4.79
136,Aklavik,CA,2021-11-27 22:30:33,68.2191,-135.0107,-10.37,64,40,13.8
137,Vostok,RU,2021-11-27 22:30:33,46.4856,135.8833,6.4,96,61,4.79
138,Telenesti,MD,2021-11-27 22:30:34,47.4997,28.3656,45.07,78,1,2.06
139,Ngunguru,NZ,2021-11-27 22:30:34,-35.6167,174.5,65.5,69,99,7.63
140,Eenhana,NA,2021-11-27 22:31:35,-17.4667,16.3333,78.57,40,90,1.9
141,Tinskoy,RU,2021-11-27 22:31:35,56.1525,96.9161,20.3,94,100,8.3
142,Mantenopolis,BR,2021-11-27 22:31:35,-18.8625,-41.1228,65.32,94,100,2.37
143,Mananjary,MG,2021-11-27 22:31:36,-21.2167,48.3333,68.86,90,100,11.48
144,Cockburn Town,TC,2021-11-27 22:27:28,21.4612,-71.1419,79.34,66,28,11.36
145,Anacortes,US,2021-11-27 22:30:16,48.5126,-122.6127,53.92,88,90,6.91
146,Lazaro Cardenas,MX,2021-11-27 22:31:36,17.9583,-102.2,82.11,67,14,7.83
147,Malinovskiy,RU,2021-11-27 22:31:36,61.1953,62.8397,26.83,95,82,5.64
148,Le Port,RE,2021-11-27 22:31:37,-20.9373,55.2919,77.0,84,43,6.11
149,Saint-Georges,GD,2021-11-27 22:31:37,12.0564,-61.7485,82.08,83,20,5.75
150,Barrow,US,2021-11-27 22:27:53,71.2906,-156.7887,-14.78,84,20,3.44
151,Sao Felix Do Xingu,BR,2021-11-27 22:31:37,-6.6447,-51.995,74.3,94,100,1.05
152,Ponta Do Sol,PT,2021-11-27 22:31:38,32.6667,-17.1,63.23,75,26,5.37
153,Byron Bay,AU,2021-11-27 22:31:38,-28.65,153.6167,71.55,89,96,11.74
154,Saint George,US,2021-11-27 22:31:02,37.1041,-113.5841,61.39,14,1,0.0
155,Kununurra,AU,2021-11-27 22:31:38,-15.7667,128.7333,82.38,74,30,4.61
156,Svetlaya,RU,2021-11-27 22:31:40,46.5389,138.3297,22.98,72,2,9.75
157,Cherskiy,RU,2021-11-27 22:31:40,68.75,161.3,-24.93,91,10,3.4
158,Nikel,RU,2021-11-27 22:31:40,69.4128,30.222,-7.42,100,94,4.32
159,Gushikawa,JP,2021-11-27 22:31:40,26.3544,127.8686,69.39,60,20,23.02
160,Dongsheng,CN,2021-11-27 22:31:41,39.8161,109.9776,30.06,85,4,7.63
161,Bukachacha,RU,2021-11-27 22:31:41,52.9833,116.9167,7.81,89,100,3.09
162,Mildura,AU,2021-11-27 22:31:41,-34.2,142.15,69.76,49,1,10.36
163,Itacoatiara,BR,2021-11-27 22:31:42,-3.1431,-58.4442,80.98,75,100,2.1
164,Amalapuram,IN,2021-11-27 22:31:42,16.5833,82.0167,77.02,81,100,8.43
165,Bardiyah,LY,2021-11-27 22:31:42,31.7561,25.0865,70.3,49,9,15.9
166,Bathsheba,BB,2021-11-27 22:30:20,13.2167,-59.5167,81.21,83,20,9.22
167,Gat,IL,2021-11-27 22:31:42,31.61,34.7642,57.88,42,19,2.66
168,Najran,SA,2021-11-27 22:29:09,17.4924,44.1277,63.25,47,3,1.23
169,Los Andes,CL,2021-11-27 22:31:43,-32.8337,-70.5983,71.37,45,40,7.36
170,Maliq,AL,2021-11-27 22:31:43,40.7058,20.6997,44.92,87,100,5.32
171,Saryg-Sep,RU,2021-11-27 22:31:43,51.5,95.6,-4.43,97,99,3.31
172,Sibolga,ID,2021-11-27 22:31:44,1.7427,98.7792,73.94,88,100,3.85
173,Lebu,CL,2021-11-27 22:31:44,-37.6167,-73.65,54.5,77,1,17.94
174,Pushkinskiye Gory,RU,2021-11-27 22:31:44,57.0209,28.9103,30.2,97,100,5.82
175,Povenets,RU,2021-11-27 22:31:45,62.8487,34.8262,17.71,90,100,10.56
176,Giresun,TR,2021-11-27 22:31:45,40.5,38.5,34.92,98,100,8.77
177,Eunice,US,2021-11-27 22:31:45,30.4944,-92.4176,55.36,70,100,5.23
178,Joshimath,IN,2021-11-27 22:31:46,30.5667,79.5667,44.73,22,0,7.05
179,Mahebourg,MU,2021-11-27 22:28:00,-20.4081,57.7,73.69,88,40,5.75
180,Moron,AR,2021-11-27 22:29:44,-34.6534,-58.6198,76.89,53,100,10.78
181,Paraiso,CR,2021-11-27 22:31:46,9.8383,-83.8656,72.46,93,57,3.98
182,Karlskoga,SE,2021-11-27 22:31:46,59.3267,14.5239,26.51,65,100,8.23
183,Portland,US,2021-11-27 22:30:07,45.5234,-122.6762,61.38,94,90,8.05
184,Pitimbu,BR,2021-11-27 22:31:47,-7.4706,-34.8086,81.19,66,87,12.44
185,Arraial Do Cabo,BR,2021-11-27 22:29:13,-22.9661,-42.0278,72.34,94,84,6.85
186,La Ronge,CA,2021-11-27 22:28:00,55.1001,-105.2842,26.85,50,1,9.22
187,Sola,VU,2021-11-27 22:32:47,-13.8833,167.55,80.82,75,29,7.61
188,Illapel,CL,2021-11-27 22:31:05,-31.6308,-71.1653,65.73,55,0,5.66
189,Severnyy,RU,2021-11-27 22:32:48,50.677,36.5532,41.04,100,90,6.71
190,Athabasca,CA,2021-11-27 22:28:01,54.7169,-113.2854,28.22,82,79,6.22
191,Juba,SS,2021-11-27 22:32:48,4.8517,31.5825,76.57,65,70,3.96
192,Airai,TL,2021-11-27 22:32:48,-8.9266,125.4092,66.13,81,99,0.74
193,Southbridge,US,2021-11-27 22:32:49,42.0751,-72.0334,34.18,74,6,10.69
194,Vredendal,ZA,2021-11-27 22:27:51,-31.6683,18.5012,63.3,89,20,12.12
195,Biak,ID,2021-11-27 22:32:49,-0.9131,122.8766,78.28,81,100,2.86
196,San Quintin,MX,2021-11-27 22:32:49,30.4833,-115.95,69.75,44,0,9.24
197,Morros,BR,2021-11-27 22:32:50,-9.4467,-46.3003,75.99,77,70,5.77
198,Aras,ES,2021-11-27 22:32:50,42.5617,-2.356,34.21,93,90,20.71
199,Castro,BR,2021-11-27 22:32:50,-24.7911,-50.0119,68.79,64,15,1.19
200,Kyren,RU,2021-11-27 22:32:50,51.6828,102.1408,1.27,80,4,2.21
201,Darab,IR,2021-11-27 22:32:51,28.7519,54.5444,59.41,43,0,1.57
202,Umm Lajj,SA,2021-11-27 22:32:49,25.0213,37.2685,79.02,53,0,8.95
203,Port Said,EG,2021-11-27 22:32:51,31.2565,32.2841,72.14,64,29,8.39
204,Lavrentiya,RU,2021-11-27 22:32:51,65.5833,-171.0,-10.55,93,4,7.96
205,Victoria,HK,2021-11-27 22:30:17,22.2855,114.1577,67.98,56,84,6.17
206,Rawson,AR,2021-11-27 22:32:52,-43.3002,-65.1023,59.72,66,5,13.27
207,Sembe,CG,2021-11-27 22:32:52,1.6481,14.5806,71.71,83,54,2.04
208,Hithadhoo,MV,2021-11-27 22:32:52,-0.6,73.0833,81.52,71,39,17.25
209,Sakakah,SA,2021-11-27 22:32:53,29.9697,40.2064,56.77,45,15,6.22
210,Thompson,CA,2021-11-27 22:32:53,55.7435,-97.8558,23.16,80,90,8.05
211,Clyde River,CA,2021-11-27 22:32:53,70.4692,-68.5914,-8.95,99,89,5.57
212,Talnakh,RU,2021-11-27 22:32:54,69.4865,88.3972,0.0,96,100,9.24
213,Lannion,FR,2021-11-27 22:32:54,48.75,-3.4167,43.05,49,0,14.97
214,Fort Nelson,CA,2021-11-27 22:32:54,58.8053,-122.7002,11.79,85,75,2.3
215,Arcachon,FR,2021-11-27 22:32:54,44.5875,-1.0519,39.25,87,81,2.3
216,Himeji,JP,2021-11-27 22:32:28,34.8167,134.7,49.93,62,2,6.51
217,Mbini,GQ,2021-11-27 22:32:55,1.574,9.6134,75.04,85,100,11.68
218,Pacific Grove,US,2021-11-27 22:31:35,36.6177,-121.9166,74.88,48,1,5.75
219,Lata,PT,2021-11-27 22:32:55,40.1629,-8.3327,45.01,69,0,4.23
